nfl_player_id,nfl_player_name,nfl_display_name,nfl_position,nfl_position_group,sportradar_player_id,sportradar_name,sportradar_display_name,sportradar_first_name,sportradar_last_name,sportradar_position,sportradar_jersey,sportradar_height,sportradar_weight,sportradar_birth_date,sportradar_experience,sportradar_college,sportradar_team_alias,sportradar_status,match_type,match_score
00-0032464,K.Raymond,Kalif Raymond,WR,WR,e0a31d02-9d1c-4dab-adb4-a5d9bbee8b36,Kalif Raymond,,Kalif,Raymond,WR,11.0,68,180.0,1994-08-08,9,Holy Cross,DET,ACT,exact_name_position,1.0
00-0032688,R.Chosen,Robbie Chosen,WR,WR,e81fb788-1478-4936-ae12-f6ed7ec23476,Robbie Chosen,,Robbie,Chosen,WR,3.0,75,185.0,1993-05-09,10,Temple,SF,ACT,exact_name_position,1.0
00-0032764,D.Henry,Derrick Henry,RB,RB,87c481c7-7414-43cc-82df-19ca0c2ae22e,Derrick Henry,,Derrick,Henry,RB,22.0,74,252.0,1994-01-04,10,Alabama,BAL,ACT,exact_name_position,1.0
00-0032775,D.Robinson,Demarcus Robinson,WR,WR,46b16198-116f-4913-85db-2bc21462bd66,Demarcus Robinson,,Demarcus,Robinson,WR,5.0,73,202.0,1994-09-21,10,Florida,SF,ACT,exact_name_position,1.0
00-0032918,C.Ham,C.J. Ham,FB,RB,971fc9e5-bebb-4a2c-a822-8c52f92a3d07,C.J. Ham,,C.J.,Ham,FB,30.0,71,250.0,1993-07-22,9,Augustana,MIN,ACT,exact_name_position,1.0
00-0032943,R.Dixon,Riley Dixon,P,SPEC,f45835c5-aa9e-4e32-b545-20d1e322fe8f,Riley Dixon,,Riley,Dixon,P,92.0,76,221.0,1993-08-24,10,Syracuse,TB,ACT,exact_name_position,1.0
00-0032951,L.Treadwell,Laquon Treadwell,WR,WR,2e0badcd-b78c-40ee-a83b-a1bbb36bc545,Laquon Treadwell,,Laquon,Treadwell,WR,13.0,74,215.0,1995-06-14,9,Ole Miss,IND,ACT,exact_name_position,1.0
00-0033040,T.Hill,Tyreek Hill,WR,WR,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,Tyreek Hill,,Tyreek,Hill,WR,10.0,70,191.0,1994-03-01,10,West Alabama,MIA,ACT,exact_name_position,1.0
00-0033057,J.Conklin,Jack Conklin,T,OL,0e7d7ddc-6515-4034-8857-5ab9da6b7c25,Jack Conklin,,Jack,Conklin,T,78.0,78,308.0,1994-08-17,10,Michigan State,CLE,ACT,exact_name_position,1.0
00-0033077,D.Prescott,Dak Prescott,QB,QB,86197778-8d4b-4eba-affe-08ef7be7c70b,Dak Prescott,,Dak,Prescott,QB,4.0,74,238.0,1993-07-29,10,Mississippi State,DAL,ACT,exact_name_position,1.0
00-0033090,H.Henry,Hunter Henry,TE,TE,705899da-3c20-4bc3-b5d0-2e6e40655131,Hunter Henry,,Hunter,Henry,TE,85.0,77,249.0,1994-12-07,10,Arkansas,NE,ACT,exact_name_position,1.0
